OLT,Tarjeta,Puerto,Clientes afectados,Hora de afectación,CLASE
flc-coro-olt-04,5,10,5,8:58 a.m.,Puntual
mbo-call-olt-02,4,1,18,7:49 am,Masivo
mbo-pomo-olt-00,7,5,13,2:01 am,Masivo
mbo-call-olt-05,7,1,3,11:31 am,Puntual
mbo-bvis-olt-01,3,14,1,12:00 pm,Puntual
flc-coro-olt-01,2,2,2,5:19 pm,Puntual
mbo-lpue-olt-00,7,2,55,8:17 p.m.,Masivo
mbo-call-olt-02,3,6,2,4:39 pm,Puntual
flc-coro-olt-01,7,4,10,1:21 pm,Masivo
flc-coro-olt-01,4,7,7,9:03 am,Masivo
mbo-bvis-olt-01,1,11,5,11:13 am,Puntual
mbo-lpue-olt-00,1,2,4,2:54 p.m.,Puntual
mbo-pomo-olt-00,1,0,50,1:43 am,Masivo
mbo-lpue-olt-00,5,2,13,4:28 a.m.,Masivo
mbo-call-olt-02,5,3,5,10:02 a.m.,Puntual
mbo-call-olt-05,1,13,1,11:14 p.m.,Puntual
mbo-call-olt-02,1,0,3,10:22 am,Puntual
flc-coro-olt-01,3,7,13,1:25 am,Masivo
mbo-call-olt-02,7,13,3,10:35 a.m.,Puntual
mbo-pomo-olt-00,4,9,3,1:45 a.m.,Puntual
mbo-bvis-olt-05,5,8,30,3:26 pm,Masivo
flc-coro-olt-04,2,1,9,11:22 a.m.,Masivo
mbo-call-olt-05,4,15,11,9:49 a.m.,Masivo
mbo-bvis-olt-03,1,0,8,11:32 p.m.,Masivo
mbo-pomo-olt-00,7,9,9,1:55 pm,Masivo
mbo-bvis-olt-05,3,14,24,8:12 am,Masivo
mbo-bvis-olt-01,2,1,9,2:40 am,Masivo
mbo-call-olt-05,7,9,4,12:56 a.m.,Puntual
mbo-bvis-olt-01,4,9,4,4:07 am,Puntual
flc-coro-olt-01,2,2,7,1:44 am,Masivo
mbo-pomo-olt-00,7,13,13,2:05 pm,Masivo
flc-coro-olt-04,6,12,54,7:46 a.m.,Masivo
mbo-bvis-olt-01,7,4,8,11:02 am,Masivo
flc-coro-olt-04,1,5,56,10:44 pm,Masivo
mbo-pomo-olt-00,4,4,60,5:57 am,Masivo
mbo-call-olt-05,6,4,3,12:48 am,Puntual
mbo-lpue-olt-00,7,8,5,6:34 am,Puntual
mbo-call-olt-02,5,2,5,7:45 pm,Puntual
mbo-bvis-olt-05,7,3,4,12:22 am,Puntual
mbo-bvis-olt-01,3,13,10,10:09 am,Masivo
mbo-bvis-olt-05,5,1,2,2:01 pm,Puntual
mbo-pomo-olt-00,2,3,1,1:20 am,Puntual
flc-coro-olt-04,4,15,13,10:55 am,Masivo
flc-coro-olt-01,4,4,1,8:01 pm,Puntual
flc-coro-olt-01,5,6,4,3:52 am,Puntual
flc-coro-olt-04,1,2,43,7:49 pm,Masivo
mbo-call-olt-02,3,6,27,7:38 p.m.,Masivo
mbo-call-olt-05,4,10,2,7:37 am,Puntual
mbo-call-olt-05,2,5,55,7:33 a.m.,Masivo
flc-coro-olt-01,7,1,27,12:25 p.m.,Masivo
mbo-call-olt-05,1,10,27,11:50 pm,Masivo
mbo-bvis-olt-01,7,9,12,4:32 p.m.,Masivo
flc-coro-olt-01,4,13,2,12:08 am,Puntual
mbo-call-olt-02,7,3,13,4:02 pm,Masivo
mbo-pomo-olt-00,3,13,30,12:24 pm,Masivo
flc-coro-olt-01,4,9,4,7:19 a.m.,Puntual
flc-coro-olt-01,5,14,4,4:22 pm,Puntual
flc-coro-olt-01,5,5,19,12:58 pm,Masivo
mbo-lpue-olt-00,7,12,5,4:11 am,Puntual
mbo-bvis-olt-01,6,13,3,9:56 p.m.,Puntual
mbo-lpue-olt-00,2,11,2,12:32 a.m.,Puntual
mbo-pomo-olt-00,5,5,14,7:30 pm,Masivo
mbo-lpue-olt-00,5,12,7,8:37 am,Masivo
flc-coro-olt-04,5,3,2,7:04 p.m.,Puntual
mbo-bvis-olt-03,6,3,4,12:36 pm,Puntual
mbo-bvis-olt-05,2,5,13,6:04 pm,Masivo
mbo-call-olt-02,2,9,21,10:13 pm,Masivo
mbo-pomo-olt-00,1,5,10,12:08 am,Masivo
mbo-call-olt-05,4,11,3,8:42 pm,Puntual
mbo-call-olt-05,2,8,5,1:30 a.m.,Puntual
mbo-pomo-olt-00,1,6,14,6:39 am,Masivo
mbo-bvis-olt-03,7,13,25,2:26 pm,Masivo
flc-coro-olt-04,3,11,27,3:30 pm,Masivo
flc-coro-olt-01,4,10,31,1:45 a.m.,Masivo
mbo-call-olt-05,3,13,10,6:27 am,Masivo
mbo-bvis-olt-05,3,1,3,6:24 pm,Puntual
mbo-pomo-olt-00,2,5,1,12:47 am,Puntual
mbo-bvis-olt-03,2,12,23,6:11 am,Masivo
flc-coro-olt-01,1,12,1,3:03 pm,Puntual
flc-coro-olt-01,2,3,1,10:40 pm,Puntual
mbo-bvis-olt-03,1,9,29,12:40 am,Masivo
mbo-bvis-olt-03,2,7,54,2:51 pm,Masivo
mbo-call-olt-02,3,10,1,9:16 am,Puntual
mbo-bvis-olt-05,6,0,43,2:40 p.m.,Masivo
mbo-bvis-olt-01,4,12,15,12:23 pm,Masivo
flc-coro-olt-04,4,13,21,11:14 am,Masivo
mbo-call-olt-02,2,2,18,6:45 pm,Masivo
flc-coro-olt-04,5,10,5,8:58 pm,Puntual
mbo-bvis-olt-05,5,7,3,2:07 am,Puntual
mbo-bvis-olt-01,3,8,14,9:40 a.m.,Masivo
mbo-bvis-olt-03,2,1,11,5:57 p.m.,Masivo
mbo-bvis-olt-01,6,0,2,4:24 am,Puntual
mbo-bvis-olt-05,6,0,15,6:52 am,Masivo
mbo-call-olt-02,7,7,12,2:15 pm,Masivo
mbo-bvis-olt-01,3,6,33,11:09 am,Masivo
mbo-bvis-olt-03,4,8,1,10:51 pm,Puntual
mbo-lpue-olt-00,3,13,2,7:04 am,Puntual
mbo-pomo-olt-00,7,15,3,5:11 p.m.,Puntual
flc-coro-olt-01,4,5,8,5:45 pm,Masivo
flc-coro-olt-01,2,0,9,1:37 pm,Masivo
mbo-call-olt-02,3,4,10,5:37 p.m.,Masivo
mbo-bvis-olt-05,3,12,27,11:35 pm,Masivo
mbo-bvis-olt-03,5,1,13,3:49 p.m.,Masivo
mbo-pomo-olt-00,5,15,13,4:52 pm,Masivo
flc-coro-olt-01,3,7,1,12:57 pm,Puntual
mbo-pomo-olt-00,3,6,2,7:49 pm,Puntual
mbo-bvis-olt-05,5,9,4,3:16 pm,Puntual
flc-coro-olt-01,1,4,2,12:26 am,Puntual
mbo-bvis-olt-03,4,6,3,11:30 pm,Puntual
mbo-lpue-olt-00,2,4,4,2:31 pm,Puntual
mbo-call-olt-05,5,4,5,12:27 a.m.,Puntual
mbo-lpue-olt-00,2,13,49,10:12 p.m.,Masivo
flc-coro-olt-01,3,1,5,11:13 am,Puntual
mbo-lpue-olt-00,2,3,2,5:13 a.m.,Puntual
flc-coro-olt-01,3,10,4,9:00 pm,Puntual
mbo-bvis-olt-03,3,14,5,9:44 am,Puntual
mbo-pomo-olt-00,3,14,25,3:03 a.m.,Masivo
mbo-pomo-olt-00,1,12,1,9:04 pm,Puntual
mbo-call-olt-02,5,2,6,6:00 pm,Masivo
flc-coro-olt-04,4,3,3,12:10 am,Puntual
flc-coro-olt-04,2,1,23,4:23 pm,Masivo
mbo-call-olt-05,4,0,7,8:32 pm,Masivo
mbo-bvis-olt-01,7,7,16,5:52 a.m.,Masivo
mbo-bvis-olt-01,6,14,14,6:53 pm,Masivo
flc-coro-olt-04,5,1,28,4:43 am,Masivo
mbo-call-olt-05,5,2,1,6:43 pm,Puntual
flc-coro-olt-01,6,9,28,7:56 pm,Masivo
flc-coro-olt-01,7,12,1,10:52 a.m.,Puntual
flc-coro-olt-01,2,11,2,1:32 a.m.,Puntual
mbo-bvis-olt-01,1,1,1,10:29 a.m.,Puntual
flc-coro-olt-01,4,12,3,3:30 pm,Puntual
mbo-bvis-olt-01,1,3,19,9:29 a.m.,Masivo
mbo-call-olt-02,3,12,1,5:15 am,Puntual
mbo-pomo-olt-00,7,7,29,7:31 am,Masivo
mbo-bvis-olt-03,3,13,27,11:19 pm,Masivo
mbo-bvis-olt-01,3,12,2,11:13 p.m.,Puntual
mbo-bvis-olt-01,5,11,26,11:48 am,Masivo
mbo-call-olt-02,1,14,6,3:14 pm,Masivo
mbo-call-olt-02,7,10,8,6:14 pm,Masivo
mbo-call-olt-05,5,3,2,9:23 am,Puntual
flc-coro-olt-01,1,8,62,12:44 am,Masivo
mbo-pomo-olt-00,7,8,5,9:30 pm,Puntual
mbo-pomo-olt-00,2,10,1,12:47 pm,Puntual
flc-coro-olt-04,6,11,8,3:37 am,Masivo
mbo-call-olt-05,5,9,8,10:16 pm,Masivo
flc-coro-olt-04,7,15,2,11:27 pm,Puntual
mbo-bvis-olt-01,3,3,24,1:45 a.m.,Masivo
mbo-bvis-olt-05,7,4,5,3:30 a.m.,Puntual
flc-coro-olt-01,3,2,2,10:31 pm,Puntual
mbo-lpue-olt-00,5,12,49,4:26 p.m.,Masivo
flc-coro-olt-01,6,13,3,2:58 pm,Puntual
flc-coro-olt-04,4,15,5,10:03 am,Puntual
mbo-lpue-olt-00,7,11,6,3:04 am,Masivo
mbo-bvis-olt-05,2,13,3,2:31 pm,Puntual
mbo-call-olt-02,3,4,4,8:29 pm,Puntual
mbo-pomo-olt-00,7,11,10,5:17 pm,Masivo
mbo-lpue-olt-00,2,14,13,8:55 am,Masivo
flc-coro-olt-01,6,8,16,2:50 a.m.,Masivo
mbo-bvis-olt-03,4,1,16,6:28 p.m.,Masivo
mbo-lpue-olt-00,5,3,56,2:49 am,Masivo
mbo-bvis-olt-01,7,12,5,8:11 p.m.,Puntual
mbo-bvis-olt-05,2,2,2,8:19 pm,Puntual
mbo-call-olt-02,1,9,2,12:27 am,Puntual
flc-coro-olt-04,7,14,10,7:58 pm,Masivo
mbo-call-olt-02,1,0,9,4:50 p.m.,Masivo
mbo-bvis-olt-03,4,11,31,5:44 am,Masivo
mbo-bvis-olt-01,7,11,11,4:44 pm,Masivo
mbo-bvis-olt-03,6,10,5,5:25 am,Puntual
mbo-pomo-olt-00,1,3,6,4:07 am,Masivo
mbo-call-olt-05,3,6,5,5:38 am,Puntual
mbo-call-olt-02,1,6,35,7:34 pm,Masivo
flc-coro-olt-04,3,11,7,7:20 pm,Masivo
mbo-bvis-olt-03,3,15,55,9:05 p.m.,Masivo
mbo-call-olt-05,3,4,1,8:24 pm,Puntual
mbo-pomo-olt-00,3,4,3,5:16 am,Puntual
mbo-pomo-olt-00,1,15,32,9:05 am,Masivo
flc-coro-olt-01,4,5,5,7:52 a.m.,Puntual
flc-coro-olt-01,3,8,17,12:37 a.m.,Masivo
mbo-bvis-olt-01,4,1,1,9:53 pm,Puntual
mbo-bvis-olt-05,4,11,10,8:09 pm,Masivo
mbo-bvis-olt-05,5,2,3,8:38 a.m.,Puntual
flc-coro-olt-01,4,0,29,4:02 pm,Masivo
mbo-call-olt-05,6,15,5,11:53 a.m.,Puntual
mbo-bvis-olt-05,2,7,4,6:00 am,Puntual
flc-coro-olt-01,3,13,1,9:14 am,Puntual
mbo-pomo-olt-00,4,15,12,9:53 p.m.,Masivo
flc-coro-olt-01,5,5,1,9:33 am,Puntual
flc-coro-olt-01,7,2,3,12:58 pm,Puntual
mbo-lpue-olt-00,5,4,3,3:26 am,Puntual
mbo-bvis-olt-01,7,11,7,6:24 pm,Masivo
mbo-pomo-olt-00,7,5,5,1:24 p.m.,Puntual
mbo-bvis-olt-01,7,11,6,12:55 pm,Masivo
mbo-bvis-olt-03,2,0,4,10:50 p.m.,Puntual
mbo-lpue-olt-00,5,2,1,9:37 a.m.,Puntual
mbo-bvis-olt-01,3,11,32,10:34 pm,Masivo
mbo-bvis-olt-01,5,10,10,3:13 p.m.,Masivo
mbo-bvis-olt-01,2,3,22,8:39 p.m.,Masivo
mbo-bvis-olt-03,3,14,24,8:54 p.m.,Masivo
mbo-call-olt-05,1,15,64,10:40 am,Masivo
mbo-bvis-olt-05,3,1,36,7:35 p.m.,Masivo
mbo-bvis-olt-01,4,3,4,5:38 pm,Puntual
mbo-call-olt-05,1,7,12,10:07 am,Masivo
mbo-bvis-olt-05,7,5,10,7:31 a.m.,Masivo
flc-coro-olt-04,6,9,1,4:15 pm,Puntual
flc-coro-olt-04,4,13,2,3:57 pm,Puntual
mbo-call-olt-05,4,14,24,12:31 pm,Masivo
flc-coro-olt-01,4,6,3,4:50 am,Puntual
mbo-bvis-olt-01,2,14,15,10:49 a.m.,Masivo
mbo-pomo-olt-00,2,15,16,10:12 a.m.,Masivo
flc-coro-olt-01,3,15,15,2:30 pm,Masivo
mbo-pomo-olt-00,2,9,2,7:11 pm,Puntual
flc-coro-olt-04,6,11,2,2:29 pm,Puntual
mbo-call-olt-02,5,15,4,12:35 am,Puntual
flc-coro-olt-04,5,1,11,1:56 pm,Masivo
mbo-call-olt-02,6,1,24,2:42 p.m.,Masivo
mbo-pomo-olt-00,4,9,20,9:31 pm,Masivo
mbo-call-olt-02,6,10,14,3:22 pm,Masivo
mbo-pomo-olt-00,3,4,4,5:32 pm,Puntual
mbo-bvis-olt-01,6,0,4,12:30 am,Puntual
flc-coro-olt-04,6,13,13,12:38 p.m.,Masivo
mbo-bvis-olt-05,5,0,5,12:22 pm,Puntual
mbo-lpue-olt-00,1,14,9,7:18 pm,Masivo
mbo-call-olt-05,2,10,4,5:13 am,Puntual
mbo-lpue-olt-00,4,11,23,4:37 pm,Masivo
mbo-pomo-olt-00,2,1,4,9:21 pm,Puntual
flc-coro-olt-04,3,11,12,10:54 pm,Masivo
mbo-bvis-olt-05,4,2,2,11:04 p.m.,Puntual
mbo-pomo-olt-00,4,5,1,3:10 a.m.,Puntual
mbo-bvis-olt-03,2,10,10,8:03 am,Masivo
mbo-lpue-olt-00,4,4,9,12:26 am,Masivo
flc-coro-olt-04,4,3,10,3:02 am,Masivo
mbo-bvis-olt-01,1,8,1,10:16 pm,Puntual
mbo-lpue-olt-00,4,8,30,6:15 pm,Masivo
mbo-bvis-olt-03,2,7,14,7:36 pm,Masivo
mbo-bvis-olt-01,7,8,17,7:22 am,Masivo
mbo-bvis-olt-03,5,5,30,1:34 pm,Masivo
mbo-pomo-olt-00,7,7,49,7:23 pm,Masivo
mbo-pomo-olt-00,6,2,2,11:35 p.m.,Puntual
mbo-call-olt-05,4,7,1,12:55 am,Puntual
mbo-bvis-olt-03,3,0,10,4:18 a.m.,Masivo
mbo-bvis-olt-03,4,10,1,10:42 am,Puntual
mbo-bvis-olt-01,4,0,14,10:40 pm,Masivo
mbo-bvis-olt-05,4,13,14,6:34 p.m.,Masivo
flc-coro-olt-01,1,4,50,2:58 am,Masivo
flc-coro-olt-01,3,1,21,3:23 am,Masivo
mbo-bvis-olt-03,6,3,1,9:51 pm,Puntual
flc-coro-olt-04,2,2,3,8:07 a.m.,Puntual
flc-coro-olt-04,6,4,5,3:39 pm,Puntual
mbo-bvis-olt-03,7,11,14,10:46 pm,Masivo
mbo-call-olt-02,4,1,13,6:46 a.m.,Masivo
flc-coro-olt-04,6,10,5,4:31 p.m.,Puntual
mbo-bvis-olt-01,2,13,3,4:37 pm,Puntual
flc-coro-olt-04,1,12,10,9:46 pm,Masivo
mbo-pomo-olt-00,4,1,18,3:10 a.m.,Masivo
flc-coro-olt-04,1,4,13,3:30 am,Masivo
flc-coro-olt-04,1,15,1,2:49 a.m.,Puntual
mbo-pomo-olt-00,7,3,20,10:47 pm,Masivo
mbo-pomo-olt-00,6,15,5,1:48 a.m.,Puntual
mbo-call-olt-02,6,9,11,12:10 am,Masivo
mbo-lpue-olt-00,6,5,64,1:19 p.m.,Masivo
mbo-pomo-olt-00,5,1,10,3:15 a.m.,Masivo
mbo-lpue-olt-00,5,9,44,8:37 a.m.,Masivo
mbo-bvis-olt-05,5,10,15,3:08 pm,Masivo
mbo-bvis-olt-03,3,8,5,10:21 pm,Puntual
mbo-bvis-olt-05,1,9,3,5:03 am,Puntual
mbo-bvis-olt-01,2,11,15,9:08 a.m.,Masivo
mbo-call-olt-05,5,7,9,10:51 am,Masivo
mbo-call-olt-02,7,0,34,3:14 p.m.,Masivo
mbo-bvis-olt-05,3,2,27,7:41 p.m.,Masivo
mbo-lpue-olt-00,4,15,3,12:50 p.m.,Puntual
flc-coro-olt-01,5,13,29,8:24 am,Masivo
mbo-bvis-olt-03,4,0,20,1:29 pm,Masivo
mbo-bvis-olt-05,4,5,28,4:15 am,Masivo
mbo-call-olt-02,6,9,4,9:22 am,Puntual
flc-coro-olt-04,4,5,61,8:24 pm,Masivo
flc-coro-olt-04,5,13,9,10:53 p.m.,Masivo
mbo-pomo-olt-00,1,0,10,6:06 am,Masivo
flc-coro-olt-04,3,14,6,3:41 p.m.,Masivo
mbo-bvis-olt-01,3,3,10,5:32 pm,Masivo
mbo-call-olt-05,1,0,56,8:49 am,Masivo
mbo-call-olt-05,5,10,4,12:52 a.m.,Puntual
mbo-lpue-olt-00,1,1,5,7:19 p.m.,Puntual
mbo-bvis-olt-03,6,3,13,6:28 am,Masivo
mbo-bvis-olt-03,4,11,1,2:43 p.m.,Puntual
flc-coro-olt-01,7,14,14,9:12 am,Masivo
mbo-bvis-olt-01,6,4,5,10:25 am,Puntual
flc-coro-olt-04,4,10,8,11:06 am,Masivo
mbo-bvis-olt-05,7,5,60,5:25 a.m.,Masivo
flc-coro-olt-01,7,4,9,5:12 am,Masivo
mbo-call-olt-05,5,14,5,12:52 pm,Puntual
mbo-bvis-olt-01,7,14,48,7:33 a.m.,Masivo
mbo-lpue-olt-00,3,6,4,8:25 a.m.,Puntual
flc-coro-olt-04,1,7,1,1:13 p.m.,Puntual
mbo-bvis-olt-05,7,6,3,1:10 am,Puntual
mbo-bvis-olt-03,1,15,10,7:27 pm,Masivo
mbo-bvis-olt-01,7,9,5,10:32 am,Puntual
mbo-bvis-olt-03,1,12,39,11:13 p.m.,Masivo
flc-coro-olt-01,3,2,13,6:44 pm,Masivo
flc-coro-olt-04,1,1,5,8:57 pm,Puntual
mbo-pomo-olt-00,1,15,25,1:31 pm,Masivo
mbo-call-olt-05,5,12,11,3:51 pm,Masivo
mbo-call-olt-02,3,9,3,9:25 pm,Puntual
mbo-bvis-olt-05,1,5,4,8:20 pm,Puntual
flc-coro-olt-01,7,15,30,1:00 pm,Masivo
mbo-call-olt-05,2,0,12,7:10 pm,Masivo
mbo-call-olt-02,5,0,43,12:25 a.m.,Masivo
mbo-pomo-olt-00,1,8,31,10:56 a.m.,Masivo
mbo-call-olt-05,6,2,10,5:54 am,Masivo
mbo-pomo-olt-00,5,2,15,11:15 pm,Masivo
mbo-lpue-olt-00,7,2,10,3:38 p.m.,Masivo
flc-coro-olt-04,4,5,12,9:36 am,Masivo
mbo-call-olt-05,1,4,4,3:33 p.m.,Puntual
mbo-call-olt-05,1,3,3,1:09 a.m.,Puntual
mbo-bvis-olt-01,1,13,46,12:14 a.m.,Masivo
mbo-bvis-olt-03,3,8,4,1:00 a.m.,Puntual
flc-coro-olt-01,5,9,15,1:27 pm,Masivo
flc-coro-olt-01,7,2,21,11:43 pm,Masivo
mbo-pomo-olt-00,6,7,12,1:57 am,Masivo
mbo-pomo-olt-00,1,15,5,4:30 pm,Puntual
mbo-bvis-olt-03,1,5,57,11:22 pm,Masivo
mbo-bvis-olt-05,5,13,1,11:48 am,Puntual
mbo-lpue-olt-00,3,9,11,8:52 a.m.,Masivo
mbo-call-olt-02,2,11,16,5:25 pm,Masivo
mbo-lpue-olt-00,4,6,3,10:26 am,Puntual
mbo-pomo-olt-00,6,11,7,1:39 p.m.,Masivo
mbo-call-olt-05,5,1,4,5:16 pm,Puntual
flc-coro-olt-01,5,2,7,12:35 am,Masivo
flc-coro-olt-04,2,10,7,10:08 a.m.,Masivo
mbo-lpue-olt-00,1,2,5,4:02 am,Puntual
mbo-call-olt-02,2,13,1,6:18 pm,Puntual
mbo-call-olt-02,6,11,59,1:13 pm,Masivo
mbo-lpue-olt-00,7,14,25,3:22 a.m.,Masivo
mbo-pomo-olt-00,1,8,9,2:50 a.m.,Masivo
flc-coro-olt-04,1,8,7,3:50 am,Masivo
flc-coro-olt-01,1,3,12,11:23 pm,Masivo
mbo-lpue-olt-00,7,0,10,7:13 am,Masivo
mbo-bvis-olt-03,3,4,6,11:49 pm,Masivo
flc-coro-olt-01,7,7,3,9:44 am,Puntual
mbo-bvis-olt-01,7,1,1,7:39 pm,Puntual
flc-coro-olt-01,2,4,1,8:18 pm,Puntual
flc-coro-olt-04,3,9,5,2:38 a.m.,Puntual
mbo-call-olt-02,3,5,12,10:54 am,Masivo
flc-coro-olt-01,2,12,39,4:45 pm,Masivo
mbo-bvis-olt-05,2,10,11,3:29 am,Masivo
flc-coro-olt-01,1,12,9,1:03 am,Masivo
mbo-call-olt-02,5,9,1,6:29 am,Puntual
mbo-call-olt-02,5,15,11,1:16 p.m.,Masivo
mbo-lpue-olt-00,6,15,4,11:41 am,Puntual
mbo-lpue-olt-00,4,5,23,7:59 am,Masivo
flc-coro-olt-01,1,13,2,5:40 a.m.,Puntual
mbo-pomo-olt-00,2,5,51,1:04 pm,Masivo
mbo-call-olt-05,6,9,32,1:43 pm,Masivo
flc-coro-olt-04,6,3,5,9:51 pm,Puntual
mbo-call-olt-02,6,13,5,8:11 pm,Puntual
mbo-bvis-olt-01,5,7,6,9:37 am,Masivo
flc-coro-olt-01,4,13,7,8:09 am,Masivo
mbo-bvis-olt-03,5,7,14,6:01 p.m.,Masivo
flc-coro-olt-01,3,9,2,4:51 p.m.,Puntual
mbo-bvis-olt-01,7,10,4,6:30 p.m.,Puntual
mbo-bvis-olt-03,7,1,42,6:40 a.m.,Masivo
mbo-bvis-olt-03,1,1,2,1:35 pm,Puntual
flc-coro-olt-01,6,8,27,10:19 pm,Masivo
flc-coro-olt-01,1,2,3,10:02 pm,Puntual
mbo-call-olt-02,6,4,3,11:54 pm,Puntual
mbo-bvis-olt-03,6,5,27,1:55 a.m.,Masivo
mbo-lpue-olt-00,6,15,18,11:41 a.m.,Masivo
flc-coro-olt-01,3,8,4,4:41 a.m.,Puntual
mbo-bvis-olt-03,4,9,5,2:09 pm,Puntual
flc-coro-olt-01,2,6,3,1:55 p.m.,Puntual
mbo-bvis-olt-03,6,8,13,4:43 am,Masivo
mbo-call-olt-05,2,8,24,6:42 am,Masivo
mbo-call-olt-02,3,9,5,7:41 pm,Puntual
flc-coro-olt-01,6,10,6,11:17 pm,Masivo
mbo-bvis-olt-03,3,9,31,9:15 pm,Masivo
mbo-lpue-olt-00,6,8,7,6:42 a.m.,Masivo
mbo-lpue-olt-00,1,10,8,3:54 pm,Masivo
mbo-bvis-olt-05,5,2,62,2:42 pm,Masivo
mbo-pomo-olt-00,4,14,22,8:21 am,Masivo
mbo-bvis-olt-03,4,10,4,5:31 am,Puntual
flc-coro-olt-04,7,13,3,3:18 a.m.,Puntual
mbo-lpue-olt-00,6,2,6,8:12 am,Masivo
mbo-bvis-olt-03,5,9,4,2:24 am,Puntual
mbo-call-olt-05,6,5,9,8:57 pm,Masivo
mbo-bvis-olt-03,2,2,6,6:29 pm,Masivo
mbo-call-olt-02,4,2,5,8:11 pm,Puntual
flc-coro-olt-04,1,8,3,5:30 am,Puntual
mbo-bvis-olt-01,3,4,7,8:38 pm,Masivo
mbo-bvis-olt-05,5,1,1,4:36 am,Puntual
mbo-call-olt-05,2,5,7,6:52 pm,Masivo
mbo-call-olt-05,6,12,49,6:41 pm,Masivo
flc-coro-olt-01,6,8,2,6:45 p.m.,Puntual
mbo-bvis-olt-03,5,2,33,4:52 a.m.,Masivo
mbo-call-olt-05,5,6,5,11:13 a.m.,Puntual
mbo-bvis-olt-05,5,9,25,3:25 pm,Masivo
mbo-call-olt-02,1,14,1,8:39 am,Puntual
mbo-bvis-olt-05,7,10,45,3:10 am,Masivo
mbo-lpue-olt-00,2,12,2,9:26 p.m.,Puntual
flc-coro-olt-01,3,0,8,9:42 p.m.,Masivo
mbo-lpue-olt-00,1,2,26,8:41 am,Masivo
mbo-call-olt-02,4,8,6,7:37 am,Masivo
mbo-call-olt-05,5,8,15,4:07 pm,Masivo
flc-coro-olt-01,4,12,5,7:55 pm,Puntual
mbo-pomo-olt-00,5,15,2,4:12 am,Puntual
mbo-bvis-olt-01,5,5,20,8:31 a.m.,Masivo
mbo-call-olt-02,2,9,1,4:47 pm,Puntual
mbo-call-olt-05,6,9,9,7:45 a.m.,Masivo
mbo-bvis-olt-03,3,8,2,3:32 pm,Puntual
mbo-call-olt-05,1,3,24,2:08 p.m.,Masivo
mbo-lpue-olt-00,1,5,6,3:12 pm,Masivo
flc-coro-olt-01,3,11,1,8:23 am,Puntual
flc-coro-olt-04,7,6,24,7:46 pm,Masivo
mbo-pomo-olt-00,5,15,24,11:03 a.m.,Masivo
mbo-bvis-olt-01,4,13,11,11:50 am,Masivo
flc-coro-olt-04,7,14,17,10:29 pm,Masivo
mbo-call-olt-05,6,14,48,7:20 am,Masivo
flc-coro-olt-01,2,4,4,9:05 pm,Puntual
mbo-pomo-olt-00,1,11,9,4:13 p.m.,Masivo
mbo-call-olt-02,1,3,2,6:27 pm,Puntual
mbo-lpue-olt-00,5,6,1,5:22 p.m.,Puntual
flc-coro-olt-01,4,7,5,12:47 am,Puntual
mbo-lpue-olt-00,1,1,32,11:52 am,Masivo
mbo-lpue-olt-00,7,0,3,8:15 am,Puntual
flc-coro-olt-01,3,6,32,3:15 pm,Masivo
mbo-lpue-olt-00,2,14,18,4:28 pm,Masivo
flc-coro-olt-04,4,11,7,7:47 p.m.,Masivo
mbo-bvis-olt-01,6,10,18,4:11 pm,Masivo
flc-coro-olt-04,2,9,3,7:20 pm,Puntual
flc-coro-olt-01,2,6,2,8:41 a.m.,Puntual
mbo-call-olt-05,6,4,12,9:15 p.m.,Masivo
mbo-bvis-olt-03,6,4,51,1:09 am,Masivo
mbo-bvis-olt-01,2,5,33,4:35 pm,Masivo
flc-coro-olt-01,3,15,25,7:59 pm,Masivo
mbo-bvis-olt-01,6,10,27,6:56 p.m.,Masivo
flc-coro-olt-01,3,9,4,10:35 a.m.,Puntual
mbo-call-olt-05,3,4,1,2:21 p.m.,Puntual
mbo-pomo-olt-00,2,6,10,7:26 p.m.,Masivo
mbo-call-olt-05,3,0,3,3:16 p.m.,Puntual
mbo-lpue-olt-00,5,15,28,7:55 am,Masivo
flc-coro-olt-01,2,4,5,8:38 pm,Puntual
mbo-bvis-olt-05,5,11,58,3:10 pm,Masivo
mbo-call-olt-02,1,10,4,6:30 a.m.,Puntual
mbo-bvis-olt-05,7,11,24,8:10 pm,Masivo
mbo-call-olt-02,6,14,1,11:50 pm,Puntual
mbo-bvis-olt-05,4,2,3,3:09 a.m.,Puntual
mbo-bvis-olt-05,1,10,7,7:42 am,Masivo
flc-coro-olt-04,2,3,14,10:12 a.m.,Masivo
mbo-bvis-olt-03,6,7,28,4:00 am,Masivo
mbo-call-olt-02,5,12,26,12:31 a.m.,Masivo
mbo-bvis-olt-05,5,0,11,7:17 pm,Masivo
mbo-pomo-olt-00,4,10,53,3:18 p.m.,Masivo
mbo-lpue-olt-00,6,11,4,9:55 p.m.,Puntual
mbo-call-olt-02,2,2,34,1:58 p.m.,Masivo
mbo-pomo-olt-00,2,9,23,10:24 am,Masivo
mbo-bvis-olt-01,7,9,2,12:58 am,Puntual
mbo-pomo-olt-00,3,3,62,11:56 am,Masivo
mbo-pomo-olt-00,6,8,29,11:10 am,Masivo
mbo-bvis-olt-05,2,3,46,4:14 p.m.,Masivo
mbo-bvis-olt-03,1,11,2,6:20 pm,Puntual
mbo-lpue-olt-00,5,13,20,5:19 am,Masivo
